# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345350220294e-02       2.461383472559e+04 
       1.358216767623e-02       2.465841751112e+04 
       1.371086942890e-02       2.470068703474e+04 
       1.383960756993e-02       2.474083454549e+04 
       1.396838223138e-02       2.477888664750e+04 
       1.409719356801e-02       2.481488858190e+04 
       1.422604175696e-02       2.484885591047e+04 
       1.435492699744e-02       2.488073693077e+04 
       1.448384951043e-02       2.491060049789e+04 
       1.461280953848e-02       2.493853556742e+04 
       1.474180734547e-02       2.496448652482e+04 
       1.487084321642e-02       2.498852676554e+04 
       1.499991745737e-02       2.501061252465e+04 
       1.512903039521e-02       2.503083362562e+04 
       1.525818237762e-02       2.504919434284e+04 
       1.538737377292e-02       2.506575054277e+04 
       1.551660497010e-02       2.508042527949e+04 
       1.564587637869e-02       2.509338635527e+04 
       1.577518842884e-02       2.510454289608e+04 
       1.590454157126e-02       2.511401411603e+04 
       1.603393627726e-02       2.512172265805e+04 
       1.616337303885e-02       2.512772394683e+04 
       1.629285236872e-02       2.513208383123e+04 
       1.642237480040e-02       2.513473393553e+04 
       1.655194088833e-02       2.513578212366e+04 
       1.668155120801e-02       2.513529621869e+04 
       1.681120635611e-02       2.513314870201e+04 
       1.694090695063e-02       2.512955802931e+04 
       1.707065363111e-02       2.512427043996e+04 
       1.720044705880e-02       2.511750339076e+04 
       1.733028791688e-02       2.510924544072e+04 
       1.746017691066e-02       2.509955506391e+04 
       1.759011476787e-02       2.508839431702e+04 
       1.772010223888e-02       2.507577824770e+04 
       1.785014009701e-02       2.506181043825e+04 
       1.798022913880e-02       2.504556309365e+04 
       1.811037018434e-02       2.502956596769e+04 
       1.824056407757e-02       2.501068888404e+04 
       1.837081168666e-02       2.499123381810e+04 
       1.850111390434e-02       2.497047664217e+04 
       1.863147164830e-02       2.494918719392e+04 
       1.876188586157e-02       2.492579883715e+04 
       1.889235751294e-02       2.490058369238e+04 
       1.902288759739e-02       2.487532802720e+04 
       1.915347713652e-02       2.484763596182e+04 
       1.928412717904e-02       2.481924322837e+04 
       1.941483880124e-02       2.478963248943e+04 
       1.954561310748e-02       2.476027614286e+04 
       1.967645123073e-02       2.472850776951e+04 
       1.980735433310e-02       2.469557628066e+04 
       1.993832360638e-02       2.466109925624e+04 
       2.006936027266e-02       2.462615525074e+04 
       2.020046558486e-02       2.458986456387e+04 
       2.033164082742e-02       2.455368962680e+04 
       2.046288731689e-02       2.451555422930e+04 
       2.059420640260e-02       2.447640700415e+04 
       2.072559946735e-02       2.443520405647e+04 
       2.085706792812e-02       2.439431874242e+04 
       2.098861323675e-02       2.435298228439e+04 
       2.112023688076e-02       2.430923265559e+04 
       2.125194038407e-02       2.426507760321e+04 
       2.138372530781e-02       2.422029462046e+04 
       2.151559325117e-02       2.417456433849e+04 
       2.164754585220e-02       2.412798040316e+04 
       2.177958478875e-02       2.408064545193e+04 
       2.191171177931e-02       2.403233247261e+04 
       2.204392858399e-02       2.398313761225e+04 
       2.217623700545e-02       2.393309689933e+04 
       2.230863888992e-02       2.388246227560e+04 
       2.244113612820e-02       2.383094617757e+04 
       2.257373065674e-02       2.377857588336e+04 
       2.270642445868e-02       2.372562799892e+04 
       2.283921956503e-02       2.367232205396e+04 
       2.297211805578e-02       2.361743351807e+04 
       2.310512206115e-02       2.356296635927e+04 
       2.323823376273e-02       2.350637823837e+04 
       2.337145539485e-02       2.344982863184e+04 
       2.350478924582e-02       2.339256264122e+04 
       2.363823765931e-02       2.333490612489e+04 
       2.377180303574e-02       2.327644451802e+04 
       2.390548783373e-02       2.321728540164e+04 
       2.403929457154e-02       2.315765870715e+04 
       2.417322582866e-02       2.309728581682e+04 
       2.430728424736e-02       2.303718874910e+04 
       2.444147253433e-02       2.297516412437e+04 
       2.457579346235e-02       2.291311233747e+04 
       2.471024987205e-02       2.285130628621e+04 
       2.484484467371e-02       2.278764543062e+04 
       2.497958084910e-02       2.272428957079e+04 
       2.511446145339e-02       2.265999339970e+04 
       2.524948961719e-02       2.259553685981e+04 
       2.538466854850e-02       2.253069936233e+04 
       2.552000153492e-02       2.246529333281e+04 
       2.565549194579e-02       2.239941858992e+04 
       2.579114323446e-02       2.233319555458e+04 
       2.592695894062e-02       2.226650165552e+04 
       2.606294269277e-02       2.219928079248e+04 
       2.619909821064e-02       2.213225377062e+04 
       2.633542930785e-02       2.206385550873e+04 
       2.647193989458e-02       2.199543814534e+04 
       2.660863398031e-02       2.192683217747e+04 
       2.674551567673e-02       2.185777051193e+04 
       2.688258920070e-02       2.178887614156e+04 
       2.701985887736e-02       2.171877555420e+04 
       2.715732914328e-02       2.164912985208e+04 
       2.729500454981e-02       2.157880809296e+04 
       2.743288976649e-02       2.150795444731e+04 
       2.757098958463e-02       2.143696812111e+04 
       2.770930892099e-02       2.136578709933e+04 
       2.784785282159e-02       2.129455967106e+04 
       2.798662646575e-02       2.122267463732e+04 
       2.812563517011e-02       2.115068561256e+04 
       2.826488439304e-02       2.107849499271e+04 
       2.840437973897e-02       2.100602634624e+04 
       2.854412696310e-02       2.093341731799e+04 
       2.868413197615e-02       2.086054174202e+04 
       2.882440084937e-02       2.078739734721e+04 
       2.896493981973e-02       2.071445940730e+04 
       2.910575529532e-02       2.064070022961e+04 
       2.924685386096e-02       2.056708493094e+04 
       2.938824228406e-02       2.049361640439e+04 
       2.952992752068e-02       2.041927328589e+04 
       2.967191672187e-02       2.034554368665e+04 
       2.981421724031e-02       2.027087254856e+04 
       2.995683663715e-02       2.019647632265e+04 
       3.009978268917e-02       2.012184099750e+04 
       3.024306339630e-02       2.004727920689e+04 
       3.038668698940e-02       1.997276089349e+04 
       3.053066193840e-02       1.989744607659e+04 
       3.067499696080e-02       1.982249000827e+04 
       3.081970103052e-02       1.974740015961e+04 
       3.096478338723e-02       1.967216984727e+04 
       3.111025354598e-02       1.959687234927e+04 
       3.125612130738e-02       1.952152220185e+04 
       3.140239676813e-02       1.944641024673e+04 
       3.154909033220e-02       1.937074279094e+04 
       3.169621272235e-02       1.929502630320e+04 
       3.184377499234e-02       1.921940418864e+04 
       3.199178853964e-02       1.914387540895e+04 
       3.214026511879e-02       1.906797843977e+04 
       3.228921685539e-02       1.899231247617e+04 
       3.243865626077e-02       1.891648916324e+04 
       3.258859624744e-02       1.884083175727e+04 
       3.273905014525e-02       1.876489385361e+04 
       3.289003171837e-02       1.868890351350e+04 
       3.304155518322e-02       1.861309837198e+04 
       3.319363522718e-02       1.853738059410e+04 
       3.334628702845e-02       1.846140605807e+04 
       3.349952627681e-02       1.838549416874e+04 
       3.365336919555e-02       1.830938901423e+04 
       3.380783256457e-02       1.823344427541e+04 
       3.396293374477e-02       1.815774451944e+04 
       3.411869070370e-02       1.808187298135e+04 
       3.427512204271e-02       1.800587744580e+04 
       3.443224702559e-02       1.792993198572e+04 
       3.459008560886e-02       1.785438551894e+04 
       3.474865847377e-02       1.777826659637e+04 
       3.490798706018e-02       1.770246410854e+04 
       3.506809360243e-02       1.762683128136e+04 
       3.522900116731e-02       1.755110674172e+04 
       3.539073369439e-02       1.747530400826e+04 
       3.555331603872e-02       1.739963803651e+04 
       3.571677401623e-02       1.732395507852e+04 
       3.588113445189e-02       1.724833053393e+04 
       3.604642523095e-02       1.717274195147e+04 
       3.621267535350e-02       1.709721365637e+04 
       3.637991499244e-02       1.702175154983e+04 
       3.654817555538e-02       1.694623104905e+04 
       3.671748975054e-02       1.687105676221e+04 
       3.688789165714e-02       1.679547388801e+04 
       3.705941680059e-02       1.672005722411e+04 
       3.723210223282e-02       1.664476658892e+04 
       3.740598661827e-02       1.656944109520e+04 
       3.758111032594e-02       1.649418962252e+04 
       3.775751552812e-02       1.641904553569e+04 
       3.793524630623e-02       1.634395096671e+04 
       3.811434876457e-02       1.626862755705e+04 
       3.829487115249e-02       1.619356593042e+04 
       3.847686399600e-02       1.611849142445e+04 
       3.866038023938e-02       1.604334557538e+04 
       3.884547539800e-02       1.596817118437e+04 
       3.903220772326e-02       1.589331544182e+04 
       3.922063838079e-02       1.581822510203e+04 
       3.941083164337e-02       1.574324621562e+04 
       3.960285509985e-02       1.566815364065e+04 
       3.979677988174e-02       1.559323504730e+04 
       3.999268090934e-02       1.551844257836e+04 
       4.019063715939e-02       1.544332110941e+04 
       4.039073195644e-02       1.536836569410e+04 
       4.059305329066e-02       1.529336875007e+04 
       4.079769416483e-02       1.521797301391e+04 
       4.100475297380e-02       1.514314614760e+04 
       4.121433392012e-02       1.506811539894e+04 
       4.142654747000e-02       1.499279272356e+04 
       4.164151085424e-02       1.491752941581e+04 
       4.185934861965e-02       1.484239021511e+04 
       4.208019323695e-02       1.476704902344e+04 
       4.230418577227e-02       1.469149985683e+04 
       4.253147663014e-02       1.461596287268e+04 
       4.276222637740e-02       1.454048250320e+04 
       4.299660665834e-02       1.446460538726e+04 
       4.323480121366e-02       1.438891764025e+04 
       4.347700701712e-02       1.431275643761e+04 
       4.372343554655e-02       1.423658061308e+04 
       4.397431420821e-02       1.416023667434e+04 
       4.422988793707e-02       1.408368123393e+04 
       4.449042099890e-02       1.400694217702e+04 
       4.475619902523e-02       1.393015999944e+04 
       4.502753131722e-02       1.385276741808e+04 
       4.530475346141e-02       1.377524730830e+04 
       4.558823030822e-02       1.369757051814e+04 
       4.587835937384e-02       1.361961255565e+04 
       4.617557473786e-02       1.354098137896e+04 
       4.648035152375e-02       1.346222496337e+04 
       4.679321106684e-02       1.338301123486e+04 
       4.711472689664e-02       1.330321666477e+04 
       4.744553168744e-02       1.322264432389e+04 
       4.778632536507e-02       1.314225793248e+04 
       4.813788459998e-02       1.306082896988e+04 
       4.850107396992e-02       1.297860151981e+04 
       4.887685914221e-02       1.289544987815e+04 
       4.926632251028e-02       1.281179026576e+04 
       4.967068182591e-02       1.272742823162e+04 
       5.009131250527e-02       1.264189514710e+04 
       5.052977445986e-02       1.255532854762e+04 
       5.098784452509e-02       1.246746494562e+04 
       5.146755584057e-02       1.237855906323e+04 
       5.197124589383e-02       1.228827265581e+04 
       5.250161538827e-02       1.219603709624e+04 
       5.306180065388e-02       1.210206712738e+04 
       5.365546299107e-02       1.200581209198e+04 
       5.428689911187e-02       1.190687547421e+04 
       5.496117764951e-02       1.180507873372e+04 
       5.568430736980e-02       1.169976925400e+04 
       5.646344282423e-02       1.159045344332e+04 
       5.730713187357e-02       1.147626906266e+04 
       5.822560506272e-02       1.135618975130e+04 
       5.923109600135e-02       1.122874672186e+04 
       6.033815897323e-02       1.109125722471e+04 
       6.156390589076e-02       1.094279608485e+04 
       6.292800797692e-02       1.077869104923e+04 
       6.445219225212e-02       1.059447742644e+04 
       6.615883402490e-02       1.038500649719e+04 
       6.806821304577e-02       1.014352173835e+04 
       7.019430568397e-02       9.861745628494e+03 
       7.253989554425e-02       9.534274579196e+03 
       7.509308802243e-02       9.157729761544e+03 
       7.782775981849e-02       8.734868782122e+03 
       8.070866819590e-02       8.275395925114e+03 
       8.369884713925e-02       7.795280350860e+03 
       8.676568297340e-02       7.312711912076e+03 
       8.988376696782e-02       6.846617267197e+03 
       9.303496061784e-02       6.412828297887e+03 
       9.620705962711e-02       6.022854254666e+03 
       9.939216443297e-02       5.683427342035e+03 
       1.025852864772e-01       5.396389061477e+03 
       1.057833237112e-01       5.159298407462e+03 
       1.089843654070e-01       4.966667261196e+03 
       1.121872413917e-01       4.810137360169e+03 
       1.153912374585e-01       4.680688373260e+03 
       1.185959185239e-01       4.568212728316e+03 
       1.218010197798e-01       4.463087415916e+03 
       1.250063800796e-01       4.357164905970e+03 
       1.282119013113e-01       4.243777056526e+03 
       1.314175236721e-01       4.118490531256e+03 
       1.346232106369e-01       3.980346349580e+03 
       1.378289398280e-01       3.830037035164e+03 
       1.410346974706e-01       3.670220098384e+03 
       1.442404750258e-01       3.505325717379e+03 
       1.474462671466e-01       3.340220866191e+03 
       1.506520704357e-01       3.180144026827e+03 
       1.538578826908e-01       3.029432854133e+03 
       1.570637024459e-01       2.891525270891e+03 
       1.602695286915e-01       2.768773490417e+03 
       1.634753607043e-01       2.661955337750e+03 
       1.666811979427e-01       2.570996885424e+03 
       1.698870399830e-01       2.494395401296e+03 
       1.730928864798e-01       2.430213370173e+03 
       1.762987371414e-01       2.375506366675e+03 
       1.795045917147e-01       2.327483285494e+03 
       1.827104499747e-01       2.283139729642e+03 
       1.859163117188e-01       2.240046095936e+03 
