# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653404819297e-10       7.720010267733e-15       2.357933526059e-13       6.485086937844e-17       8.505415554271e-11       8.857019298041e-12      -7.426113515088e-15 
   41       1.678370153564e-10       8.384219876842e-15       2.263229697794e-13       6.813936215597e-17       8.085024522732e-11       8.445629236552e-12      -6.837439645438e-15 
   42       1.703521107733e-10       9.084028304408e-15       2.154574391543e-13       7.151058540859e-17       7.692621737199e-11       8.062621595083e-12      -6.501800711889e-15 
   43       1.728752676688e-10       9.819928173040e-15       2.032785382408e-13       7.496458251938e-17       7.323971972866e-11       7.705338665241e-12      -6.532453972424e-15 
   44       1.754112448557e-10       1.059254993944e-14       1.897421552345e-13       7.850138278727e-17       6.978508664606e-11       7.372922638962e-12      -6.879203266365e-15 
   45       1.779678700707e-10       1.140254280022e-14       1.747612435815e-13       8.212100652106e-17       6.655881556240e-11       7.064077209002e-12      -7.428467315335e-15 
   46       1.805512578439e-10       1.225052861777e-14       1.582370005438e-13       8.582346693386e-17       6.354582728819e-11       6.776150065110e-12      -8.040541787752e-15 
   47       1.831656030621e-10       1.313710094668e-14       1.400580664696e-13       8.960877006117e-17       6.071856333597e-11       6.505031237524e-12      -8.548069276101e-15 
   48       1.858131446238e-10       1.406275754568e-14       1.201224714938e-13       9.347691203705e-17       5.804547213242e-11       6.246340703594e-12      -8.801781444279e-15 
   49       1.884945259760e-10       1.502767768908e-14       9.841265957476e-14       9.742787020559e-17       5.552140262267e-11       5.999624275029e-12      -8.826542905130e-15 
   50       1.912081815273e-10       1.603188040948e-14       7.494023707206e-14       1.014616093632e-16       5.314422736202e-11       5.765165822603e-12      -8.706665450454e-15 
